article_id,y,rationale,scope
9063aa29-5ade-439c-b241-51bc8d6adc53,1,"Partnership with a national foodservice provider suggests a positive business development, but is a general business update with no explicit mention of financial impact.",company
7f4b4382-2bc0-440b-af18-43b3022aee67,1,"Earnings call transcript is a neutral, factual document. The sentiment is based on the content of the discussion, which isn't provided.",company
01253f79-5bfc-47f7-a4e0-76df41d5859d,2,"Title ""A Bull Case Theory"" is explicitly positive.",company
5f0afc5b-b593-4885-81b0-1d8f213547ab,2,"Announces a distribution (dividend), which is a positive financial event for shareholders.",company
04b7174b-323a-4663-a621-0c32b18a1596,2,"Title includes ""bondissent"" (jump/soar) and mentions the positive effect of lower tariffs.",market
90ded1d5-0dee-4918-abb4-a2640928a750,0,"Title and description mention ""plongent"" (plunge) and ""proche du krach"" (near a crash).",market
740e7f60-50df-44b7-a7ea-5327879db58d,2,"Partnership with a large company like L'Oréal to leverage AI is a positive development.",company
7c58c6af-afb9-4456-9a40-e5e411f9a1e6,2,"Title mentions ""rebondissent"" (rebound/bounce back) for global stocks.",market
d5d83865-dd0f-434f-9f69-e584a2eec29f,1,"Earnings call transcript is a neutral, factual document. The sentiment is based on the content of the discussion, which isn't provided.",company
51009a5c-58d2-46ad-a56f-c50fd1c580a4,1,"Announcing results is a neutral event. The sentiment is based on the results themselves, which aren't provided.",company
7b4dda2f-8b20-4d5d-bc8b-a4e6ae3ff07d,0,"Title ""Sorry American firms..."" and content about losses for US firms points to a negative sentiment for the US market/companies mentioned.",market
39a9789a-541a-4033-8caf-11671bb8ca82,0,"Title and description explicitly state stocks ""fall"" and ""tumble"".",market
5d6fbde2-c80b-4406-947a-2be9ad400bda,1,"Analysis of potential winners and losers is a neutral, forward-looking article without a clear positive or negative event for a specific company.",market
d5d8a262-3f5c-4d36-a45d-b5fe11bdc4e4,1,"Headline ""pushing this... higher"" is positive, but the context is an analysis of why this is happening, which is a neutral article type.",company
7d23c802-1307-4536-b2c8-57214ed86887,1,"Providing an update to financing is a neutral business communication.",company
83e2463e-8384-40cc-83ac-0ba894ee9731,0,"Title and description explicitly state stocks ""plummet"" amid recession fears.",market
ceda9be0-bb39-4a15-aaf5-f04feb75e3f7,0,"Description explicitly mentions ""closed with losses"" and ""declines"".",market
1a27e7d1-5b19-48e3-9eef-f36e2037773d,1,"Announcing an upcoming webinar is a neutral corporate update.",company
3063d4c9-5238-46cc-8f49-9cec0de92fd2,0,"The article states the stock ""is a Hold"" despite beating guidance, and mentions negative metrics like revenue and gross margin falling.",company
