run_id,model,dataset,seed,lr,batch,train_frac,n_train,n_test,acc,macro_f1,script
finbert-0shot-fpb,FinBERT (zero-shot),FPB,,,,,0.0,2264.0,0.9717314487632509,0.962503461452302,06_finbert_benchmarks.py
lr-fpb,TF-IDF+LR,FPB,42.0,,,0.8,1811.0,453.0,0.8962472406181016,0.8498959866448125,05_lr_shap_benchmarks.py
gold-finbert_(fine-tuned_★),FinBERT (fine-tuned ★),Gold,,,,,,,0.7752808988764045,0.7658573310747224,08_eval_on_manual_annotations.py
finbert-ft-gold,FinBERT (fine-tuned),Gold,42.0,2e-05,16.0,0.7,,,0.7752808988764045,0.7658573310747224,08b_finetune_and_eval.py
gold-finbert_(zero-shot),FinBERT (zero-shot),Gold,,,,,,599.0,0.6393989983305509,0.6454941300121352,08_eval_on_manual_annotations.py
gold-lm_lexicon,LM Lexicon,Gold,,,,,,599.0,0.5475792988313857,0.5519041866471867,08_eval_on_manual_annotations.py
finbert-0shot-fiqa,FinBERT (zero-shot),FiQA,,,,,0.0,498.0,0.5682730923694779,0.54047346091389,06_finbert_benchmarks.py
gold-vader,VADER,Gold,,,,,,599.0,0.5509181969949917,0.5304514913927724,08_eval_on_manual_annotations.py
gold-weaklr_(vader_labels),WeakLR (VADER labels),Gold,,,,,,599.0,0.5475792988313857,0.5208984642905525,08_eval_on_manual_annotations.py
lex-vader-fpb,VADER,FPB,,,,,,,0.5706713780918727,0.4866877018508586,04_lexicon_baselines.py
lex-lm-fpb,LM Lexicon,FPB,,,,,,,0.6484098939929329,0.4829490678119252,04_lexicon_baselines.py
lr-fiqa,TF-IDF+LR,FiQA,42.0,,,0.8,398.0,100.0,0.68,0.42998236331569667,05_lr_shap_benchmarks.py
lex-vader-fiqa,VADER,FiQA,,,,,,,0.4558232931726907,0.423109986320313,04_lexicon_baselines.py
lex-lm-fiqa,LM Lexicon,FiQA,,,,,,,0.3172690763052209,0.3452281185614519,04_lexicon_baselines.py
gold-tf-idf+lr_(fiqa),TF-IDF+LR (FiQA),Gold,,,,,,599.0,0.4156928213689482,0.2530053117137266,08_eval_on_manual_annotations.py
gold-tf-idf+lr_(fpb),TF-IDF+LR (FPB),Gold,,,,,,599.0,0.3706176961602671,0.239703324198737,08_eval_on_manual_annotations.py
