text,y
Royal Mail chairman Donald Brydon set to step down,0
Slump in Weir leads FTSE down from record high,0
AstraZeneca wins FDA approval for key new lung cancer pill,2
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,0
Standard Chartered Shifts Emerging-Markets Strategy After Losses,0
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,2
Severn Trent share price rises as first half profit inches up as customer ...,2
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,1
Lloyds to cut 945 jobs as part of three-year restructuring strategy,0
AstraZeneca to Buy ZS Pharma for $2.7 Billion,2
"Ackman, in email, says supports Valeant CEO Pearson",2
AstraZeneca sells US drug rights to Perrigo for $380 mln,2
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",2
CORRECTED-Shire to buy Dyax for about $5.9 bln,2
Barclays poised to replace Sir Mike Rake as he heads for exit,2
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,2
AstraZeneca shares climb 3% as drug maker ups profits forecasts,2
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,2
easyJet expects resilient demand to withstand security fears,2
Compass Group says positive for year ahead,2
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,2
US dollar wipes out sales gains for SABMiller,0
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",1
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,2
Valeant CEO Pledges to Heed Critics After `Painful' Experience,0
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",2
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",2
StanChart and RBS struggle in Bank of England stress tests,0
StanChart and RBS struggle in Bank of England stress tests,0
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,2
Barclays sells benchmark indices unit to Bloomberg,2
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",0
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",0
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",0
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",2
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",2
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,2
Shell and BG Shareholders to Vote on Deal at End of January,1
AstraZeneca chases Acerta to secure next cancer drug winner,2
CompaniesTesco off to a bad start over Xmas â€“ Kantar,0
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",2
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,2
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,2
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,2
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,2
Glencore Studies Possible IPO for Agricultural Trading Business,2
Can Christmas Save Sainsbury's plc And Tesco plc?,0
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,2
Bilfinger Industrial Services win Â£100m BP contract extension,2
"Standard Chartered, RBS Escape Capital Raising in Stress Test",2
"Standard Chartered, RBS Escape Capital Raising in Stress Test",2
AstraZeneca weighing up Acerta bid to secure blood cancer drug,2
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,2
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,2
L&G completes UK's largest medically underwritten bulk pension risk deal,2
Meggitt share price tumbles as profit falls in 'challenging year',0
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,2
Kingfisher share price slides on cost to implement new strategy,0
Shire says internal synergy goals from Baxalta deal higher,2
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",0
Morrisons and Debenhams surprise City with Christmas bounce back,2
Morrisons and Debenhams surprise City with Christmas bounce back,2
"Britain's FTSE falls back with Ashtead, commodities under pressure",0
Tesco shares jump 6% after Christmas sales beat expectations,2
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",2
CompaniesHome Retail trims gains but is considered 'in play',2
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,2
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,2
Investors Remain Skeptical About Shell-BG Deal,0
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,2
Shire share price under pressure after $32bn Baxalta deal,0
Shire share price under pressure after $32bn Baxalta deal,0
Valeant Names Interim Leader as CEO Remains Hospitalized,1
Valeant Said to Name New CEO With Pearson Still Hospitalized,1
Shares in BAE Systems hit 10-month high on rating upgrade,2
